11/29/22 12:03--> 1 + 1 = 2.0
11/29/22 12:05--> 2 + 2 = (4+0j)
11/29/22 12:06--> 0 - 5 = (-5+0j)
11/29/22 12:07--> 0 / 2 = 0j
11/29/22 12:07--> 2 / 0 = Division by zero
11/29/22 12:12--> 2 / 0 = Division by zero
11/29/22 12:16--> 1 - 60 = -59.0
11/29/22 12:18--> 2 = 2 = 
11/29/22 12:19--> 0 o 0 = 
11/29/22 12:19--> 2 - 2 = 0.0
11/29/22 12:20--> 2 0 2 = 
11/29/22 12:20--> 2 0 2 = 
11/29/22 12:20--> 2 0 2 = 
11/29/22 12:20--> 2 - 2 = 0.0
11/29/22 12:46--> 2 + 2 = 4.0
11/29/22 12:47--> 2 - 2 = 0.0
11/29/22 12:48--> 2 - 2 = 0.0
11/29/22 12:49--> 0 - 0 = 0.0
11/29/22 13:02--> 2 + 2 = 4.0
11/29/22 13:06--> 0 + 2 = 2.0
11/29/22 13:34--> 2 + 2 = 4.0
11/29/22 13:35--> 2 - 2 = 0j
11/29/22 14:12--> 2 / 0 = Division by zero
11/29/22 16:36--> 2 + 2 = (4+0j)
11/29/22 16:41--> 2 - 2 = 0.0
11/29/22 16:43--> 2 - 2 = 0.0
11/29/22 16:45--> 2 - 2 = 0.0
11/29/22 16:56--> 2 - 2 = 0.0
11/29/22 16:59--> 2 - 2 = 0.0
11/29/22 17:01--> 2 - 2 = 0.0
11/29/22 17:01--> 2 - 2 = 0j
11/29/22 17:05--> 2 - 10 = (-8+0j)
11/29/22 17:05--> 2 - 10 = -8.0
